"","chr","start","end","GENE_ID"
"576","chr9",40328861,40329253,"ENSG00000290718.2"
"577","chr9",40522598,40522951,"ENSG00000289843.2"
"578","chr9",40974945,40975204,"ENSG00000290923.2"
"579","chr9",41178150,41178265,"ENSG00000276291.8"
"580","chr9",43470392,43470417,NA
"581","chr9",43512426,43512679,NA
"582","chr9",43540843,43541110,NA
"583","chr9",43874095,43874183,NA
"584","chr9",44075492,44075680,NA
"585","chr9",44093681,44093790,NA
"586","chr9",44579959,44580093,NA
"587","chr9",63290258,63290429,"ENSG00000290549.2"
"588","chr9",69604638,69604752,"ENSG00000107282.9"
"589","chr9",77839865,77840101,"ENSG00000156052.12"
"590","chr9",83200523,83201089,"ENSG00000303992.1"
"591","chr9",87816192,87816473,"ENSG00000290883.2"
"592","chr9",89816108,89816381,"ENSG00000237372.6"
"593","chr9",90129720,90129860,NA
"594","chr9",92489980,92490250,"ENSG00000188312.15"
"595","chr9",97892613,97892687,"ENSG00000307471.1"
"596","chr9",99365806,99365988,"ENSG00000271086.8"
"597","chr9",109880449,109880807,"ENSG00000157654.20"
"598","chr9",113074560,113074724,NA
"599","chr9",113385082,113385290,NA
"600","chr9",126039239,126039416,NA
"601","chr9",137401099,137401377,"ENSG00000187609.17"
"602","chrX",9835300,9835579,"ENSG00000146950.13"
"603","chrX",10534656,10534915,"ENSG00000101871.18"
"604","chrX",37405411,37405643,"ENSG00000130962.20"
"605","chrX",41301378,41301640,"ENSG00000301689.1"
"606","chrX",49591111,49591426,"ENSG00000189064.10"
"607","chrX",52980385,52980788,"ENSG00000268350.9"
"608","chrX",63764737,63764996,"ENSG00000131089.18"
"609","chrX",71405475,71405734,"ENSG00000147133.19"
"610","chrX",85084796,85085055,"ENSG00000155008.17"
"611","chrX",110012772,110013046,"ENSG00000157600.14"
"612","chrX",115662330,115662569,NA
"613","chrX",130625927,130626154,"ENSG00000165675.21"
"614","chrX",136694838,136694853,"ENSG00000129675.17"
"615","chrX",139083224,139083278,"ENSG00000129682.17"
"616","chrX",149504214,149504425,"ENSG00000010404.19"
"617","chrY",1629335,1629487,"ENSG00000292336.1"
